INSTITUTO GEOFISICO DEL PERU
CENTRO NACIONAL DE MONITOREO SISMICO
Calle Calatrava 216 - La Molina 15023
http://www.igp.gob.pe

1. ESTACION SISMICA
NOMBRE  : Isla San Lorenzo, Callao
CODIGO  : SLN1
LATITUD : -12.076
LONGITUD: -77.235

2. SISMO
FECHA LOCAL     : 2021/04/19
HORA LOCAL      : 23:53:29
LATITUD         : -12.648
LONGITUD        : -76.879
PROFUNDIDAD     : 44.0 km
MAGNITUD        : M5.0
DIST. EPICENTRAL: 74.3 km

3. REGISTRO DE ACELERACION
TIEMPO DE INICIO           : 2021/04/20 04:53:35 UTC
NUMERO DE MUESTRAS         : 8288
MUESTREO                   : 100.0 muestras/segundo
REGISTROS                  : Formato corregido por instrumento
CORRECCION POR LINEA BASE  : Si
UNIDADES                   : cm/s2
REGISTROS POR COMPONENTE   : Z: Vertical  N: Norte-Sur  E: Este-Oeste
PGA                        :    4.9659         9.3884       10.1010

              Z              N              E
         -0.000064       -0.001575        0.001260
         -0.000103       -0.000461        0.000678
         -0.000097       -0.000139        0.000132
          0.000071       -0.000890       -0.000392
          0.000238       -0.001534       -0.000569
         -0.000012       -0.001020       -0.000328
         -0.000665        0.000336       -0.000202
         -0.001157        0.001347       -0.000482
         -0.001241        0.001240       -0.000638
         -0.001241        0.000342       -0.000175
         -0.001201       -0.000353        0.000507
         -0.000744       -0.000252        0.000810
         -0.000117        0.000338        0.000857
         -0.000228        0.000749        0.000938
         -0.001018        0.000653        0.000714
         -0.001094        0.000130       -0.000041
          0.000089       -0.000530       -0.000424
          0.001093       -0.000930        0.000613
          0.000702       -0.000748        0.002393
         -0.000238       -0.000122        0.002902
         -0.000540        0.000339        0.001429
         -0.000616        0.000225       -0.000378
         -0.001159       -0.000196       -0.000816
         -0.001494       -0.000479       -0.000302
         -0.000906       -0.000528       -0.000117
         -0.000111       -0.000350       -0.000326
          0.000034        0.000012       -0.000457
         -0.000139        0.000056       -0.000757
         -0.000218       -0.000665       -0.001051
         -0.000615       -0.001522       -0.000133
         -0.001387       -0.001470        0.001855
         -0.001736       -0.000676        0.002579
         -0.001452       -0.000303        0.001001
