INSTITUTO GEOFISICO DEL PERU
CENTRO NACIONAL DE MONITOREO SISMICO
Calle Calatrava 216 - La Molina 15023
http://www.igp.gob.pe

1. ESTACION SISMICA
NOMBRE  : Isla San Lorenzo, Callao
CODIGO  : SLN1
LATITUD : -12.076
LONGITUD: -77.235

2. SISMO
FECHA LOCAL     : 2025/06/15
HORA LOCAL      : 11:35:27
LATITUD         : -12.180
LONGITUD        : -77.390
PROFUNDIDAD     : 49.0 km
MAGNITUD        : M6.1
DIST. EPICENTRAL: 20.4 km

3. REGISTRO DE ACELERACION
TIEMPO DE INICIO           : 2025/06/15 16:35:30 UTC
NUMERO DE MUESTRAS         : 7038
MUESTREO                   : 100.0 muestras/segundo
REGISTROS                  : Formato corregido por instrumento
CORRECCION POR LINEA BASE  : Si
UNIDADES                   : cm/s2
REGISTROS POR COMPONENTE   : Z: Vertical  N: Norte-Sur  E: Este-Oeste
PGA                        :   29.4497        33.7272       29.5751

              Z              N              E
          0.000266        0.000792       -0.000177
          0.000306        0.000616       -0.000392
          0.000239        0.000036       -0.000755
          0.000637       -0.000439       -0.001254
          0.001065       -0.000401       -0.001502
          0.000808       -0.000087       -0.001266
          0.000266        0.000059       -0.000799
          0.000320        0.000065       -0.000552
          0.000830        0.000207       -0.000661
          0.001069        0.000388       -0.000815
          0.001064        0.000200       -0.000603
          0.001255       -0.000444        0.000099
          0.001428       -0.001156        0.001057
          0.001145       -0.001547        0.001938
          0.000585       -0.001514        0.002513
          0.000095       -0.000986        0.002564
         -0.000391        0.000123        0.001893
         -0.000824        0.001491        0.000731
         -0.000763        0.002349       -0.000282
         -0.000106        0.002223       -0.000821
          0.000541        0.001485       -0.001119
          0.000599        0.000902       -0.001299
          0.000214        0.000853       -0.001105
         -0.000008        0.001085       -0.000451
          0.000202        0.001089        0.000312
          0.000472        0.000661        0.000816
          0.000385        0.000161        0.000957
          0.000116        0.000125        0.000737
          0.000072        0.000622        0.000149
          0.000147        0.001117       -0.000626
         -0.000037        0.000959       -0.001161
         -0.000323        0.000063       -0.001188
         -0.000200       -0.000897       -0.000863
          0.000247       -0.001167       -0.000389
          0.000392       -0.000742        0.000324
          0.000131       -0.000193        0.001296
          0.000096        0.000141        0.002061
          0.000672        0.000380        0.002005
          0.001423        0.000669        0.001059
          0.001688        0.000963       -0.000181
          0.001314        0.001153       -0.001031
          0.000649        0.001198       -0.001273
          0.000065        0.001159       -0.001121
         -0.000334        0.001061       -0.000862
         -0.000615        0.000748       -0.000654
         -0.000811        0.000101       -0.000485
         -0.000914       -0.000601       -0.000274
         -0.000936       -0.000915       -0.000058
         -0.000864       -0.000858        0.000070
         -0.000716       -0.000945        0.000184
         -0.000652       -0.001423        0.000369
         -0.000745       -0.001748        0.000454
         -0.000747       -0.001127        0.000234
         -0.000473        0.000419       -0.000243
         -0.000208        0.001940       -0.000800
         -0.000293        0.002695       -0.001265
         -0.000491        0.002947       -0.001391
         -0.000321        0.003196       -0.001009
          0.000116        0.003172       -0.000348
          0.000212        0.002313        0.000122
         -0.000202        0.000804        0.000247
         -0.000552       -0.000688        0.000357
         -0.000327       -0.002015        0.000758
          0.000227       -0.003389        0.001345
          0.000493       -0.004485        0.001923
          0.000273       -0.004635        0.002508
         -0.000111       -0.003890        0.002968
         -0.000318       -0.003052        0.002819
         -0.000274       -0.002568        0.001783
         -0.000146       -0.002118        0.000268
         -0.000282       -0.001381       -0.000988
         -0.000912       -0.000548       -0.001531
         -0.001651        0.000102       -0.001359
         -0.001787        0.000525       -0.000743
         -0.001362        0.000747       -0.000092
         -0.001240        0.000840        0.000227
         -0.001783        0.001007        0.000165
         -0.002273        0.001248        0.000012
         -0.002051        0.001221       -0.000031
         -0.001419        0.000778       -0.000125
         -0.001012        0.000148       -0.000583
         -0.000906       -0.000611       -0.001579
         -0.000708       -0.001650       -0.002934
         -0.000204       -0.002600       -0.003934
          0.000389       -0.002679       -0.003747
          0.000674       -0.001790       -0.002346
          0.000414       -0.000751       -0.000603
         -0.000231       -0.000167        0.000689
         -0.000729        0.000258        0.001367
         -0.000731        0.000997        0.001499
         -0.000564        0.001810        0.001123
         -0.000665        0.002005        0.000486
         -0.000763        0.001355        0.000023
         -0.000429        0.000297       -0.000099
         -0.000001       -0.000685       -0.000162
          0.000003       -0.001444       -0.000452
         -0.000127       -0.001925       -0.000802
          0.000122       -0.002009       -0.000803
          0.000514       -0.001719       -0.000357
          0.000543       -0.001231        0.000290
          0.000269       -0.000634        0.000937
          0.000018        0.000040        0.001455
         -0.000199        0.000557        0.001547
         -0.000459        0.000646        0.000954
         -0.000646        0.000369       -0.000073
         -0.000706       -0.000078       -0.000916
         -0.000735       -0.000706       -0.001283
         -0.000726       -0.001323       -0.001370
         -0.000614       -0.001276       -0.001390
         -0.000492       -0.000339       -0.001444
         -0.000397        0.000749       -0.001607
         -0.000148        0.001319       -0.001618
          0.000277        0.001483       -0.000998
          0.000606        0.001356        0.000067
          0.000704        0.000791        0.000801
          0.000657        0.000240        0.001007
          0.000479        0.000432        0.001097
          0.000229        0.000963        0.001086
          0.000110        0.000755        0.000668
          0.000126       -0.000038        0.000009
          0.000138       -0.000133       -0.000461
          0.000328        0.000845       -0.000689
          0.000836        0.001862       -0.000890
          0.001171        0.002051       -0.001078
          0.000902        0.001621       -0.000981
          0.000516        0.001086       -0.000299
          0.000678        0.000527        0.000884
          0.001174       -0.000153        0.001955
          0.001403       -0.000834        0.002348
          0.001295       -0.001310        0.002138
          0.001130       -0.001537        0.001665
          0.001019       -0.001655        0.000924
          0.000982       -0.001797       -0.000088
          0.001065       -0.001758       -0.001004
          0.001218       -0.001050       -0.001655
          0.001381        0.000367       -0.002290
          0.001600        0.001754       -0.002759
          0.001838        0.002410       -0.002354
          0.001935        0.002411       -0.000926
          0.001861        0.002158        0.000703
          0.001762        0.001760        0.001736
          0.001774        0.001105        0.002142
          0.001901        0.000121        0.002279
          0.001945       -0.001053        0.002234
          0.001688       -0.001894        0.001758
          0.001313       -0.001769        0.000823
          0.001254       -0.000637       -0.000089
          0.001465        0.000849       -0.000594
          0.001459        0.002106       -0.000945
          0.001198        0.003098       -0.001443
          0.001157        0.003911       -0.001799
          0.001434        0.004347       -0.001684
          0.001627        0.004278       -0.001338
          0.001607        0.003946       -0.001073
          0.001597        0.003447       -0.000706
          0.001573        0.002457        0.000071
          0.001354        0.000946        0.001210
          0.001196       -0.000380        0.002461
          0.001531       -0.000940        0.003662
          0.002109       -0.001106        0.004611
          0.002125       -0.001511        0.004911
          0.001353       -0.001925        0.004259
          0.000598       -0.001623        0.002868
          0.000699       -0.000673        0.001329
          0.001397        0.000126        0.000035
          0.001690        0.000500       -0.001051
          0.001242        0.000834       -0.002013
          0.000707        0.001093       -0.002548
          0.000584        0.000878       -0.002250
          0.000630        0.000510       -0.001414
          0.000681        0.000718       -0.000956
          0.001027        0.001270       -0.001115
          0.001589        0.001209       -0.001038
          0.001737        0.000430       -0.000187
          0.001266       -0.000223        0.000830
          0.000722       -0.000346        0.001400
          0.000549       -0.000275        0.001788
          0.000601       -0.000136        0.002300
          0.000521        0.000221        0.002663
          0.000141        0.000533        0.002742
         -0.000393        0.000460        0.002926
         -0.000736        0.000371        0.003313
         -0.000802        0.000801        0.003274
         -0.000965        0.001482        0.002267
         -0.001448        0.001727        0.000646
         -0.001928        0.001367       -0.000687
         -0.002110        0.000745       -0.001232
         -0.002120        0.000147       -0.001282
         -0.002074       -0.000366       -0.001296
         -0.001882       -0.000794       -0.001139
         -0.001626       -0.001174       -0.000340
         -0.001505       -0.001606        0.000981
         -0.001513       -0.002099        0.002029
         -0.001566       -0.002462        0.002235
         -0.001618       -0.002531        0.001783
         -0.001479       -0.002409        0.001254
         -0.001134       -0.002218        0.001036
         -0.001066       -0.001812        0.001027
