epoch,seconds,train_loss,train_mae_samples,train_mae_seconds,train_median_ae_samples,train_rmse_samples,train_within_0_1s_percent,train_within_0_2s_percent,train_within_0_5s_percent,train_mean_peak_probability,validation_loss,validation_mae_samples,validation_mae_seconds,validation_median_ae_samples,validation_rmse_samples,validation_within_0_1s_percent,validation_within_0_2s_percent,validation_within_0_5s_percent,validation_mean_peak_probability
39,46.95990240000174,4.041221663665771,27.254275,0.27254275,4.0,92.60343122692592,73.77749999999999,83.9675,91.2475,0.06903154067993164,3.9663889953613283,26.6424,0.266424,4.0,95.8247128876471,75.7,85.1,91.8,0.05184225082397461
40,48.799210199998925,4.017891507720948,25.619875,0.25619875000000003,4.0,88.35343357787518,74.07249999999999,84.545,91.935,0.06982318124771118,3.955311715698242,24.4432,0.244432,4.0,85.752131168852,76.36,85.38,92.0,0.051266246032714846
41,46.34625720000258,4.048552411651611,27.440075,0.27440075,4.0,92.98241406309045,73.8375,83.98,91.22749999999999,0.06844336519241333,3.9564093864440917,22.7742,0.227742,4.0,80.87072276170159,76.03999999999999,85.86,92.46,0.04936890869140625
42,51.38680079999904,4.011566806793213,25.305975,0.25305975,4.0,86.87505899278572,74.4675,84.71499999999999,91.92,0.06943405618667603,3.9560824798583982,22.6062,0.226062,4.0,82.62129386544368,76.38000000000001,86.04,92.66,0.04939501609802246
43,48.581578099998296,4.005688951873779,25.31875,0.2531875,4.0,87.15418549903384,74.5925,84.8925,91.8925,0.06966934900283814,3.94911439743042,24.205,0.24205,4.0,86.97205873152596,76.22,85.88,92.38,0.04941672973632812
44,51.93211859999792,4.002333581542969,24.8655,0.24865500000000001,4.0,85.88941494736125,74.5125,85.04,92.0725,0.06945496001243591,3.940169683837891,23.5164,0.235164,4.0,82.79024580226827,76.14,85.56,92.17999999999999,0.05160230255126953
45,49.50376959999994,3.9946342391967775,24.535225,0.24535225,4.0,85.02270182133711,74.77000000000001,85.0925,92.1125,0.06952132635116577,3.9397482223510742,23.5702,0.235702,4.0,85.52947679016866,77.12,86.36,92.58,0.053708402252197265
46,49.21796629999881,3.9898978675842285,24.237175,0.24237175,4.0,84.37567703432073,74.68,85.16,92.2825,0.0695040831565857,3.933948943710327,24.164,0.24164000000000002,4.0,86.72836675505886,76.48,86.08,92.30000000000001,0.05214076156616211
47,50.196778300000005,3.9873167877197266,24.0375,0.240375,4.0,83.56554253997278,74.88749999999999,85.235,92.255,0.06935544404983521,3.9239263511657714,23.1446,0.231446,4.0,82.73473152189472,76.75999999999999,86.22,92.46,0.051543425750732424
48,46.059326900001906,3.9825240898132326,24.081375,0.24081375000000002,4.0,83.73751921928425,75.0625,85.3325,92.2625,0.06950783967971802,3.937668388748169,21.472,0.21472000000000002,4.0,78.25496022617352,77.02,86.48,92.82000000000001,0.050268734741210935
49,45.53579159999936,3.9843523860931396,23.98865,0.2398865,4.0,83.49108814717891,74.9075,85.2575,92.34,0.06945609292984009,3.9169822467803956,21.8448,0.218448,4.0,79.1223129085595,76.88000000000001,86.46000000000001,92.92,0.050133311462402345
50,45.69433389999904,3.977436949920654,23.59745,0.23597449999999998,4.0,82.83340177730237,75.31,85.555,92.52749999999999,0.06940656852722168,3.910296366119385,19.6836,0.19683599999999998,4.0,70.10874695785112,77.75999999999999,87.16000000000001,93.30000000000001,0.0504951171875
51,50.05763779999688,3.9735776611328126,23.321975,0.23321974999999998,4.0,81.89452774758519,75.2575,85.665,92.5775,0.06957853689193726,3.9243853706359864,21.607,0.21606999999999998,4.0,77.24269674215161,77.18,86.72,92.64,0.05202480010986328
52,53.53588300000047,3.9683856086730955,23.195875,0.23195875000000002,4.0,81.40688438332474,75.4375,85.8625,92.585,0.06956629190444946,3.901906665802002,20.8388,0.208388,4.0,75.94967281035514,77.66,86.94,93.24,0.05294568481445312
53,47.012439000001905,3.9667385498046874,23.259975,0.23259975,4.0,82.15926864937394,75.58,85.72,92.6725,0.0693859860420227,3.895780883026123,20.7642,0.207642,4.0,76.0696667535753,77.52,87.3,93.26,0.051765278625488284
54,48.44097369999872,3.9564234519958497,22.317225,0.22317225000000002,4.0,78.75786071878794,75.5925,85.9225,92.77499999999999,0.06964684410095215,3.900691842651367,21.7174,0.217174,4.0,79.32220748315065,76.94,86.82,92.96,0.05298786849975586
55,49.955494500001805,3.952494295501709,22.3681,0.223681,4.0,79.06523856917147,75.6675,85.93499999999999,92.795,0.06967195644378663,3.899254367828369,19.0992,0.190992,4.0,68.28360857482564,78.0,87.32,93.52000000000001,0.05143072662353516
56,50.52516810000088,3.9498582763671877,22.426625,0.22426625,4.0,79.99974953085791,75.955,86.0675,92.9,0.06969599113464356,3.893489408493042,19.8252,0.19825199999999998,4.0,71.52824616890868,77.84,87.3,93.38,0.05297971420288086
57,50.01040540000031,3.9460652240753173,22.316225,0.22316225,4.0,79.8551746914375,75.925,86.175,93.00500000000001,0.06981270380020142,3.889941290283203,20.2722,0.202722,4.0,75.14982767777981,78.02,87.48,93.32000000000001,0.05109185333251953
